iter	Passed	Remaining
0	1	143
1	2	121
2	3	109
3	4	97
4	4	91
5	5	88
6	6	86
7	7	84
8	8	82
9	9	82
10	10	82
11	11	81
12	12	80
13	12	79
14	13	78
15	14	77
16	15	76
17	16	75
18	17	74
19	18	73
20	19	72
21	20	71
22	21	70
23	21	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	29	61
32	30	61
33	30	60
34	31	58
35	32	57
36	33	56
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	43	45
49	44	44
50	45	43
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	27
69	62	26
70	63	26
71	64	25
72	65	24
73	67	23
74	68	22
75	69	21
76	70	20
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	80	13
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
